Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
130;Kılıç Deniz Ürünleri Üretimi İhr. İth. ve Tic. A.Ş.;2021;3.371.048.399,00;3.402.731.414,00;1.470.028.469,00;;4.242.803.021,00;504.202.883,00;1.389.616.992,00;263.140,00;2292;Milas Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.kilicdeniz.com.tr;Muğla;Milas;Kemikler Köyü Mevkii Milas Bodrum Karayolu 18. Km
131;Tarım Kredi Yem San. ve Tic. A.Ş.;2021;3.348.210.010,00;3.495.082.580,00;;;;;;;;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tarimkrediyem.com.tr;Ankara;Yenimahalle;Beştepe Mah. Nergiz Sok. Via Tower İş Merkezi 7/A K.23 No.52
132;Akenerji Elektrik Üretim A.Ş.;2021;3.306.480.581,00;3.837.360.050,00;;;;;;;;İstanbul Sanayi Odası;0,00;37,36;37,36;25,28;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.akenerji.com.tr;İstanbul;Beyoğlu;Miralay Şefik Bey Sok. Akhan No.1517 Kat 34 Gümüşsuyu
133;Onsa Rafineri A.Ş.;2021;3.292.309.801,00;4.800.391.064,00;164.441.281,00;316.926.923,00;960.597.218,00;4.012.795,00;155.438.335,00;101.479,00;47;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1      ;"Diğer İmalat Sanayi
";390       ;www.onsa.com.tr                        ;İstanbul;Esenyurt;Osmangazi Mah. 3117 Sok. No.3
134;Esan Eczacıbaşı Endüstriyel Hammaddeler San. ve Tic. A.Ş.;2021;3.245.258.679,00;3.689.607.579,00;;;;;;;781;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Metal cevherleri madenciliği;07        ;"Madencilik ve Taşocakçılığı
";210       ;www.esan.com.tr;İstanbul;Maltepe;Girne Mah. Nehir Sok. No.13/33
135;BMC Otomotiv San. ve Tic. A.Ş.;2021;3.201.624.845,00;3.339.272.251,00;;;;;;170.729,00;2827;Ege Bölgesi Sanayi Odası;0,00;50,01;49,99;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.bmc.com.tr;İzmir;Bornova;Kemalpaşa Cad. No.288 Pınarbaşı
136;Autoliv Cankor Otomotiv Emniyet Sistemleri San. ve Tic. A.Ş.;2021;3.196.831.949,00;3.291.588.717,00;;;;;;171.446,00;;Kocaeli Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.autoliv.com;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi İhsan Dede Cad. 800. Sok. No.801
137;Gübre Fabrikaları T.A.Ş.;2021;3.159.065.055,00;8.832.157.095,00;1.913.620.285,00;1.694.347.197,00;8.782.711.508,00;808.636.125,00;1.791.397.020,00;;581;İstanbul Sanayi Odası;0,00;75,95;0,00;24,05;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.gubretas.com.tr;İstanbul;Kadıköy;Nida Kule Göztepe İş Merkezi Merdivenköy Mah. Bora Sok. No.1  Kat 123031
138;Arslan Alüminyum A.Ş.;2021;3.156.997.876,00;3.321.240.676,00;;;;;;195.304,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.arslanaluminyum.com;İstanbul;Kağıthane;Hürriyet Mah. Dr. Cemil Bengü Cad. No.40 Kat 2,3,4,5
139;Eti Soda Üretim Pazarlama Nakliyat ve Elektrik Üretim San. ve Tic. A.Ş.;2021;3.150.564.687,00;3.153.775.279,00;;2.476.907.385,00;5.851.115.063,00;;1.781.980.646,00;226.441,00;596;Ankara Sanayi Odası;26,00;74,00;0,00;0,00;Diğer madencilik ve taş ocakçılığı;08        ;"Madencilik ve Taşocakçılığı
";210       ;www.etisoda.com;Ankara;Beypazarı;Yeşilağaç Mah. Gürağaç Kümeevler Trona Tesisleri No.47/A
140;MAN Türkiye A.Ş.;2021;3.146.595.193,00;3.146.595.194,00;;;;;;333.989,00;;Ankara Sanayi Odası;0,00;0,01;99,99;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.man.eu;Ankara;Akyurt;Saracalar Mah. Özal Bulvarı No.212
141;Erdemir Madencilik San. ve Tic. A.Ş.;2021;3.143.805.571,00;3.143.805.571,00;2.881.592.262,00;2.301.143.890,00;2.584.591.398,00;2.586.367.150,00;2.325.426.231,00;;321;Sivas Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Metal cevherleri madenciliği;07        ;"Madencilik ve Taşocakçılığı
";210       ;www.erdemirmaden.com.tr;Sivas;Divriği;Cürek Yolu 5. Km 
142;Namet Gıda San. ve Tic. A.Ş.;2021;3.100.668.370,00;3.121.182.629,00;640.212.213,00;1.825.677.274,00;2.562.800.028,00;472.914.645,00;437.041.214,00;6.908,00;1594;Kocaeli Sanayi Odası;0,00;60,76;39,24;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.namet.com.tr;Kocaeli;Çayırova;Akse Mah. Fevzi Çakmak Cad. No.132134 
143;Öznur Kablo San. ve Tic. A.Ş.;2021;3.096.790.734,00;3.096.797.334,00;;931.245.234,00;1.937.555.664,00;;;4.116,00;321;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.oznurkablo.com.tr;İstanbul;Beyoğlu;Şair Ziya Paşa Cad. No.41 Karaköy
145;Kipaş Kağıt Sanayi İşletmeleri A.Ş.;2021;3.073.249.754,00;3.117.850.204,00;;2.918.474.190,00;3.345.674.406,00;;;32.536,00;1042;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.kipaskagit.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A
146;Kordsa Teknik Tekstil A.Ş.;2021;3.041.288.973,00;3.105.528.155,00;1.036.962.414,00;1.512.985.628,00;4.443.101.550,00;394.914.419,00;742.836.874,00;232.314,00;1575;Kocaeli Sanayi Odası;0,00;71,11;0,00;28,89;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.kordsaglobal.com;Kocaeli;İzmit;Alikahya Fatih Mah. Sanayici Cad. No.90
147;Astor Enerji A.Ş.;2021;3.011.832.621,00;3.179.557.823,00;984.070.873,00;1.379.830.530,00;2.824.832.306,00;551.270.594,00;1.000.962.717,00;66.299,00;1300;Ankara Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.astoras.com.tr;Ankara;Sincan;Alcı OSB Mah. 2001 Cad. A Blok No.5/A
148;Prometeon Turkey Endüstriyel ve Ticari Lastikler A.Ş.;2021;2.983.033.489,00;3.599.985.456,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,01;99,99;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Lastik Ürünleri Sanayi;355       ;www.prometeon.com.tr;İstanbul;Şişli;Esentepe Mah. Büyükdere Cad. Bahar Sok. River Plaza No.13 Kat.13
149;Kardemir Çelik Sanayi A.Ş.;2021;2.957.345.627,00;3.048.620.833,00;907.476.561,00;;;132.135.829,00;675.950.131,00;196.592,00;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.kardemir.com.tr;Denizli;Merkezefendi;Hacıeyüplü Mah. 3075 Sok. No.15
150;Gazi Metal Mamülleri San. ve Tic. A.Ş.;2021;2.944.255.128,00;3.200.228.993,00;;;;;;;308;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.gazimetal.com.tr;Kocaeli;Gebze;Barış Mah. 1804 Sok. No.6
151;C.P. Standart Gıda San. ve Tic. A.Ş.;2021;2.924.842.414,00;2.985.383.869,00;;;1.217.517.378,00;;;7.074,00;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.cpturkiye.com;İstanbul;Şişli;Büyükdere Cad. Akıncı Bayırı Sok. No.6 Mecidiyeköy
152;Polibak Plastik Film San. ve Tic. A.Ş.;2021;2.906.862.899,00;2.924.583.836,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.polibak.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10000 Sok. No.4
153;Maxion İnci Jant Sanayi A.Ş.;2021;2.887.785.996,00;2.887.785.996,00;;1.048.525.910,00;1.848.980.396,00;;;189.504,00;1280;Manisa Ticaret ve Sanayi Odası;0,00;40,00;60,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.maxionwheels.com;Manisa;Yunusemre;Organize Sanayi Bölgesi Mustafa Kemal Bulvarı No.2
154;Mutlu Makarnacılık San. ve Tic. A.Ş.;2021;2.873.397.072,00;3.806.707.355,00;;;;;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.mutlumakarna.com.tr;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi Vali Muammer Güler Bulvarı No.44 
155;Bosch Rexroth Otomasyon San. ve Tic. A.Ş.;2021;2.859.260.072,00;3.040.470.260,00;;;2.486.598.437,00;;224.242.607,00;276.093,00;;Bursa Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.boschrexroth.com.tr;Bursa;Nilüfer;Organize Sanayi Bölgesi Kırmızı Cad. 3. Sok. No.1
156;Pınar Süt Mamülleri Sanayii A.Ş.;2021;2.856.006.363,00;2.857.749.787,00;409.340.977,00;352.601.645,00;1.612.743.411,00;114.400.987,00;282.189.781,00;47.408,00;1162;Ege Bölgesi Sanayi Odası;0,00;61,41;0,00;38,59;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.pinar.com.tr;İzmir;Bornova;Yunus Emre Mah. Kemalpaşa Cad. No.317 Pınarbaşı
157;Döktaş Dökümcülük Tic. ve San. A.Ş.;2021;2.850.632.670,00;2.959.186.786,00;271.107.164,00;406.768.529,00;2.923.974.330,00;157.783.921,00;666.683.855,00;241.553,00;2682;Orhangazi Ticaret ve Sanayi Odası;0,00;94,71;0,00;5,29;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.doktas.com;Bursa;Orhangazi;Fatih Mah. Gölyolu Cad. No.26
158;Çimsa Çimento San. ve Tic. A.Ş.;2021;2.833.547.915,00;3.226.974.996,00;803.150.922,00;2.803.468.490,00;4.794.797.794,00;475.920.468,00;879.105.049,00;162.007,00;973;Mersin Ticaret ve Sanayi Odası;0,00;63,52;0,00;36,48;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.cimsa.com.tr;İstanbul;Ataşehir;Küçükbakkalköy Mah. Kayışdağı Cad. Allianz Tower No.1 Kat.2324
159;Cargill Tarım ve Gıda San. Tic. A.Ş.;2021;2.828.560.456,00;2.951.619.658,00;;;;;;49.191,00;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.cargill.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. Resepsiyon Lobi Apt. No.2/4567
160;Şirikçioğlu Mensucat San. ve Tic. A.Ş.;2021;2.779.693.535,00;3.140.898.011,00;;;4.354.931.781,00;;;;2086;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.sirikcioglu.com.tr;Kahramanmaraş;Onikişubat;Vadi Mah. Batı Çevre Yolu No.132/A
161;Altınmarka Gıda San. ve Tic. A.Ş.;2021;2.779.545.627,00;3.084.438.927,00;;;2.847.324.766,00;;;71.104,00;306;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.altinmarka.com.tr;İstanbul;Esenyurt;Atatürk Mah. Gazi Cad. No.2
162;Eczacıbaşı Yapı Gereçleri San. ve Tic. A.Ş.;2021;2.778.933.421,00;3.151.046.663,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Çanak, Çömlek, Çini, Porselen Sanayi;361       ;www.vitra.com.tr;İstanbul;Şişli;Büyükdere Cad. Ali Kaya Sok. No.5 Levent 
163;Federal Mogul Powertrain Otomotiv A.Ş.;2021;2.758.527.214,00;3.080.073.888,00;;;2.469.814.799,00;;;239.364,00;;Kocaeli Sanayi Odası;0,00;50,00;50,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.federalmogul.com.tr;İstanbul;Beyoğlu;Pürtelaş Mah. Meclisİ Mebusan Cad. No.53 Fındıklı
164;Korozo Ambalaj San. ve Tic. A.Ş.;2021;2.736.281.418,00;3.062.885.303,00;;;;;;;;İstanbul Sanayi Odası;0,00;15,00;85,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.korozo.com.tr;İstanbul;Esenyurt;Atatürk Mah. Orhan Veli Cad. No.12 Kıraç 
165;Şölen Çikolata Gıda San. ve Tic. A.Ş.;2021;2.728.915.588,00;2.895.718.932,00;;;;;;197.219,00;2276;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.solen.com.tr;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83412 Nolu Cad. No.4 
166;Türk Prysmian Kablo ve Sistemleri A.Ş.;2021;2.715.795.081,00;2.869.446.783,00;199.898.766,00;412.898.651,00;2.670.680.784,00;48.431.490,00;98.045.797,00;90.703,00;;Bursa Ticaret ve Sanayi Odası;0,00;0,00;83,75;16,25;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.prysmiangroup.com;Bursa;Mudanya;Ömerbey Mah. Bursa Asfaltı Cad. No.51
168;Gedik Tavukçuluk ve Tarım Ürünleri Tic. San. A.Ş.;2021;2.712.927.689,00;3.088.789.015,00;532.808.042,00;398.464.777,00;1.325.261.439,00;115.400.379,00;342.338.734,00;;2698;Uşak Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.gedikpilic.com;Uşak;Eşme;Kolankaya Köyü No.85
169;RWE & Turcas Güney Elektrik Üretim A.Ş.;2021;2.706.265.735,00;2.707.059.920,00;408.065.586,00;1.866.155.828,00;2.934.131.421,00;379.845.174,00;377.137.198,00;;55;Denizli Sanayi Odası;0,00;30,16;69,84;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.rwe.com.tr;Ankara;Çankaya;Kızılırmak Mah. Dumlupınar Bulvarı No.3 Next Level Ofis A Blok Kat.14
170;Reka Bitkisel Yağlar San. ve Tic. A.Ş.;2021;2.699.392.160,00;2.812.997.301,00;;821.468.348,00;;;;;240;Tekirdağ Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.rekaoil.com;İstanbul;Ataşehir;Barbaros Mah. Mor Sümbül Sok. Varyap Meridian I Blok No.1/81
171;Mondi Tire Kutsan Kağıt ve Ambalaj Sanayi A.Ş.;2021;2.696.184.738,00;2.700.865.779,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;79,15;20,85;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.mondigroup.com.tr;İzmir;Tire;Toki Mah. Hasan Tahsin Cad. No.28
172;Başhan Tarımsal Ürünleri Pazarlama San. ve Dış Tic. A.Ş.;2021;2.683.655.654,00;2.701.180.911,00;271.031.501,00;308.851.755,00;1.791.426.210,00;94.301.498,00;;99.009,00;650;Mersin Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.bashan.com.tr;Mersin;Akdeniz;Mersin Adana Karayolu Üzeri Emek Mah. Atatürk Bulvarı No.18 Karacailyas 
173;Eczacıbaşı Tüketim Ürünleri San. ve Tic. A.Ş.;2021;2.667.924.545,00;2.895.281.237,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.eczacibasituketim.com.tr;İstanbul;Beykoz;Rüzgarlı Bahçe Mah. Çam Pınarı Sok. No.3
174;Abalıoğlu Yem Sanayi A.Ş.;2021;2.663.284.495,00;2.701.068.639,00;;;;;;;;Denizli Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.abaliogluyem.com.tr;Denizli;Merkezefendi;Eskihisar Mah. Pamukkale Bulvarı No.2 A/1
175;Akçansa Çimento San. ve Tic. A.Ş.;2021;2.649.627.046,00;2.884.685.975,00;678.682.477,00;1.546.003.628,00;3.273.300.091,00;201.121.941,00;457.898.287,00;126.726,00;978;İstanbul Sanayi Odası;0,00;39,72;39,72;20,56;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.akcansa.com.tr;İstanbul;Ataşehir;Barbaros Mah. Kardelen Sok. Palladıum Tower  No.2/125
176;Beyçelik Gestamp Otomotiv Sanayi A.Ş.;2021;2.643.997.380,00;2.940.417.586,00;;778.410.519,00;2.603.429.957,00;;;51.235,00;1932;Bursa Ticaret ve Sanayi Odası;0,00;50,00;50,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.beycelikgestamp.com.tr;Bursa;Nilüfer;Işıktepe Organize Sanayi Bölgesi Kahverengi Cad. No.13
177;Naksan Plastik ve Enerji San. ve Tic. A.Ş.;2021;2.639.981.583,00;2.768.432.984,00;698.777.917,00;15.781.322,00;3.725.512.693,00;260.468.734,00;479.812.759,00;94.739,00;2140;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.naksanplastik.com;Gaziantep;Şehitkamil;1. Organize Sanayi Bölgesi 83118 Nolu Cad. No.6
178;Arpaş İhracat İthalat ve Pazarlama A.Ş.;2021;2.632.467.405,00;2.632.467.405,00;;1.952.871.330,00;2.174.112.528,00;;;281.675,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1      ;"Diğer İmalat Sanayi
";390       ;www.arpas.com.tr;İstanbul;Esenyurt;Selahaddin Eyyubi Mah. Büyük Ayazma Cad. No.7880
179;Altek Döküm Hadde Mamulleri San. ve Tic. A.Ş.;2021;2.627.144.732,00;2.653.960.401,00;;;;;;161.145,00;298;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.altekdokum.com;İstanbul;Beylikdüzü;Bakır Pirinç San. Koop. Kurtoğlu Cad. No.10
180;Kaleseramik Çanakkale Kalebodur Seramik Sanayi A.Ş.;2021;2.615.483.747,00;2.745.245.501,00;723.068.273,00;760.918.408,00;2.869.654.268,00;352.527.876,00;472.059.160,00;107.953,00;3112;İstanbul Sanayi Odası;0,00;81,75;18,25;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Çanak, Çömlek, Çini, Porselen Sanayi;361       ;www.kale.com.tr;İstanbul;Beşiktaş;Büyükdere Cad. Kale Seramik Binası 4.Levent
181;Tusaş Motor Sanayii A.Ş.;2021;2.541.240.304,00;2.685.756.426,00;;;;;;207.708,00;;Eskişehir Sanayi Odası;0,00;53,78;46,22;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.tei.com.tr;Eskişehir;Tepebaşı;Esentepe Mah. Çevre Yolu Bulvarı No.356
182;Karafiber Tekstil San. ve Tic. A.Ş.;2021;2.522.903.210,00;2.714.021.854,00;;1.295.578.440,00;2.936.964.228,00;;;110.332,00;1634;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.selcukgroup.com;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi 83221 Cad. No.6
183;Nexans Türkiye Endüstri ve Ticaret A.Ş.;2021;2.497.095.950,00;2.509.198.572,00;;;;;;;;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.nexans.com.tr;İstanbul;Şişli;Mecidiyeköy Mah. Oğuz Sok. No.4 Rönesans Bız Plaza K.A/1
184;AYD Otomotiv Endüstri San. ve Tic. A.Ş.;2021;2.486.585.615,00;2.486.598.487,00;;1.562.742.812,00;2.677.185.278,00;;;182.652,00;4203;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.aydtr.com;Konya;Selçuklu;Büyükkayacıkosb Mah. Vali İhsan Dede Cad. No.7/1 
185;Ege Çelik Endüstrisi San. ve Tic. A.Ş.;2021;2.456.381.908,00;2.673.205.794,00;;695.516.011,00;1.226.301.757,00;;;42.014,00;474;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Ana Metal Sanayi;371       ;www.egecelik.com.tr;İstanbul;Şişli;Esentepe Mah. Müselles Sok. No.6 Santa İş Merkezi Kat 45
186;Koçak Farma İlaç ve Kimya Sanayi A.Ş.;2021;2.450.535.560,00;2.451.207.129,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.kocakfarma.com;İstanbul;Bağcılar;Mahmutbey Mah. 2477. Sok. No.23
187;Melike Tekstil San. ve Tic. A.Ş.;2021;2.446.959.680,00;2.768.722.560,00;934.119.086,00;;;5.600.363,00;;;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.meliketekstil.com;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83404 Nolu Cad. No.17 Başpınar
188;Akkim Kimya San. ve Tic. A.Ş.;2021;2.438.731.771,00;2.479.793.930,00;370.039.383,00;1.080.236.854,00;3.405.799.219,00;385.332.780,00;838.357.986,00;104.504,00;726;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.akkim.com.tr;İstanbul;Beyoğlu;Gümüşsuyu Mah. Miralay Şefik Bey Sok. Akhan No.15/2
189;Almaxtex Tekstil San. ve Tic. A.Ş.;2021;2.432.238.108,00;2.550.398.796,00;;421.028.925,00;1.678.528.052,00;;;263.098,00;4197;Bursa Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.almaxtex.com;Bursa;Yıldırım;Karapınar Mah. Ankarayolu Cad. No.900
190;S.S. Trakya Yağlı Tohumlar Tarım Satış Kooperatifleri Birliği;2021;2.428.271.736,00;2.755.704.538,00;440.741.860,00;754.815.726,00;1.100.492.012,00;259.301.062,00;123.235.204,00;335,00;795;Edirne Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.trakyabirlik.com.tr;Edirne;Merkez;1. Murat Mah. Zübeyde Hanım Cad. No.2
191;Durak Fındık San. ve Tic. A.Ş.;2021;2.427.272.150,00;2.427.272.150,00;;298.070.043,00;1.797.802.585,00;;391.860.758,00;171.315,00;802;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.durakfindik.com.tr;İstanbul;Beşiktaş;Levent Cad. Krizantem Sok. No.96 Levent
192;Mutlu Akü ve Malzemeleri Sanayii A.Ş.;2021;2.414.406.256,00;2.483.441.252,00;;;;;;;1118;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.mutlu.com.tr;İstanbul;Tuzla;Tepeören Mah. Eski Ankara Asfaltı Cad. No.210
193;Beyteks Tekstil San. ve Tic. A.Ş.;2021;2.396.094.204,00;2.641.845.117,00;563.053.488,00;199.158.031,00;1.009.013.703,00;506.041.076,00;425.955.462,00;2.391,00;2680;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.beytekstekstil.com;Adana;Ceyhan;Kelemeti Mah. Hayat Yağ Sanayi Yanı
194;İnci GS Yuasa Akü San. ve Tic. A.Ş.;2021;2.395.682.271,00;2.401.387.078,00;;;;;;;;Manisa Ticaret ve Sanayi Odası;0,00;50,00;50,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.incigsyuasa.com;Manisa;Yunusemre;Organize Sanayi Bölgesi 2. Kısım Gaziler Cad. No.6
